id,parent_id,category,name,coordinates,rating,is_location,is_active
0100000000,,О,АВТОНОМНА РЕСПУБЛІКА КРИМ,,0,False,
0110000000,0100000000,,МІСТА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ,,0,False,
0110100000,0100000000,М,СІМФЕРОПОЛЬ,,100,True,
0110130000,0110100000,,РАЙОНИ М.СІМФЕРОПОЛЯ,,0,False,
0110136300,0110100000,РГ,ЗАЛІЗНИЧНИЙ,,100,True,
0110136600,0110100000,РГ,КИЇВСЬКИЙ,,100,True,
0110136900,0110100000,РГ,ЦЕНТРАЛЬНИЙ,,100,True,
0110165000,0110100000,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЗАЛІЗНИЧНІЙ РАЙРАДІ М.СІМФЕРОПОЛЯ",,0,False,
0110165300,0110100000,Т,АЕРОФЛОТСЬКИЙ,,50,True,
0110165600,0110100000,Т,ГРЕСІВСЬКИЙ,,50,True,
0110165601,0110165600,Щ,БІТУМНЕ,,25,True,
0110165800,0110100000,Т,КОМСОМОЛЬСЬКЕ,,50,True,
0110166000,0110100000,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ КИЇВСЬКІЙ РАЙРАДІ М.СІМФЕРОПОЛЯ",,0,False,
0110166200,0110100000,Т,АГРАРНЕ,,50,True,
0110300000,0100000000,М,АЛУШТА,,100,True,
0110345000,0110300000,,"СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ АЛУШТИНСЬКІЙ МІСЬКРАДІ",,0,False,
0110345400,0110300000,Т,ПАРТЕНІТ,,50,True,
0110390000,0110300000,,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ АЛУШТИНСЬКІЙ МІСЬКРАДІ",,0,False,
0110390900,0110300000,,ІЗОБІЛЬНЕНСЬКА,,0,False,
0110390901,0110390900,С,ІЗОБІЛЬНЕ,,25,True,
0110390903,0110390900,С,ВЕРХНЯ КУТУЗОВКА,,25,True,
0110390905,0110390900,С,НИЖНЯ КУТУЗОВКА,,25,True,
0110390907,0110390900,Щ,РОЗОВИЙ,,25,True,
0110391400,0110300000,,ЛУЧИСТІВСЬКА,,0,False,
0110391401,0110391400,С,ЛУЧИСТЕ,,25,True,
0110391403,0110391400,Щ,ЛАВАНДА,,25,True,
